NP_008621.1	GO:0006120,GO:0008137,GO:0070469,GO:0005743
NP_008622.1	GO:0045277,GO:0004129,GO:0006119,GO:1902600,GO:0005743,GO:0020037,GO:0022900,GO:0046872
NP_008623.1	GO:0005507,GO:0070469,GO:1902600,GO:0004129,GO:0005743,GO:0022900
NP_008624.1	GO:0000276,GO:0015986,GO:0015078,GO:1902600
NP_008625.1	GO:0045263,GO:0015986,GO:0015078,GO:0005743,GO:1902600
NP_008626.1	GO:0019646,GO:0004129,GO:0005739,GO:1902600,GO:0016020
NP_008627.1	GO:0008137,GO:0070469,GO:0022900,GO:0031966
NP_008628.1	GO:0042773,GO:0008137,GO:0005743
NP_008629.1	GO:0042773,GO:0008137,GO:0070469,GO:0031966
NP_008630.1	GO:0042773,GO:0016651,GO:0005739,GO:0070469,GO:0019866,GO:0015453,GO:0009055
NP_008631.1	GO:0005739,GO:0016020
NP_008632.1	GO:0008121,GO:0045275,GO:0022904,GO:1902600,GO:0005743,GO:0046872
NP_008633.1	GO:0008137,GO:0005743,GO:0022900
XP_046436738.1	GO:0016020
XP_046436739.1	GO:0005634,GO:0003723
XP_046436740.1	GO:0005634,GO:0003723
XP_046436741.1	GO:0005634,GO:0003723
XP_046436742.1	GO:0005007,GO:0008543,GO:0043235,GO:0016020,GO:0008284,GO:0005524,GO:0016310,GO:0022008
XP_046436743.1	GO:0005007,GO:0008543,GO:0043235,GO:0016020,GO:0008284,GO:0005524,GO:0016310,GO:0022008
XP_046436744.1	GO:0005007,GO:0008543,GO:0043235,GO:0016020,GO:0008284,GO:0005524,GO:0016310,GO:0022008
XP_046436745.1	GO:0005007,GO:0008543,GO:0043235,GO:0016020,GO:0008284,GO:0005524,GO:0016310,GO:0022008
XP_046436746.1	GO:0032543,GO:0005739,GO:0003735,GO:1990904,GO:0005840,GO:0070013
XP_046436749.1	GO:0070182,GO:0006281
XP_046436750.1	GO:0004843,GO:0006508,GO:0005829,GO:0005634,GO:0042981
XP_046436751.1	GO:0004843,GO:0006508,GO:0005829,GO:0005634,GO:0042981
XP_046436752.1	GO:0004722,GO:0046872
